alpha,b,table_type,cost,kernel_time,l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum
1.0,7,N,1198.752053,1.82458,41870995900
1.0,8,H,1255.870357,1.78245,8530042342
1.0,8,N,1255.870357,3.60719,46844826017
1.0,9,H,1303.541294,1.18685,7752773187
1.0,9,N,1303.541294,2.19598,42343495508
1.0,10,H,1343.4162,1.20617,7325188520
1.0,10,N,1343.4162,1.77107,36301250000
1.0,11,H,1376.645662,1.20779,8605053725
1.0,11,N,1376.645662,2.3749,41727677119
1.0,12,H,1404.196024,1.37182,8342815803
1.0,12,N,1404.196024,2.34759,40233489558
